CompanyID,Name,Industry,Sector,Notes,Headquarters,Name_One,Name_Two,Label
10,Affinity Credit Union,Financials,Banks,Credit union,Saskatoon,Affinity Credit Union,Affinity One Credit Union Limited,0
11,AHED,Consumer goods,Recreational products,"Guitar equipment, defunct",Toronto[13],AHED,A.H.E.D. Enterprises Inc.,1
11,AHED,Consumer goods,Recreational products,"Guitar equipment, defunct",Toronto[13],AHED,ABED,0
12,Air Canada,Consumer services,Airlines,"Flag carrier, largest airline of Canada",Montreal,Air Canada,Trans-Canada Air Lines,1
12,Air Canada,Consumer services,Airlines,"Flag carrier, largest airline of Canada",Montreal,Air Canada,Air Transat A.T. Inc.,0
13,Air Miles,Consumer services,Travel & tourism,Loyalty programs,Toronto,Air Miles,LoyaltyOne Co.,1
13,Air Miles,Consumer services,Travel & tourism,Loyalty programs,Toronto,Air Miles,Airmec Inc.,0
15,AldrichPears Associates,Industrials,Business support services,Exhibit design,Vancouver,AldrichPears Associates,Aldrich & Pears Exhibition Designers Ltd.,1
15,AldrichPears Associates,Industrials,Business support services,Exhibit design,Vancouver,AldrichPears Associates,Aldrich Partners LLC,0
16,Algonquin Power & Utilities,Utilities,Alternative electricity,Renewable energy,Oakville,Algonquin Power & Utilities,AQN Inc.,1
16,Algonquin Power & Utilities,Utilities,Alternative electricity,Renewable energy,Oakville,Algonquin Power & Utilities,ATCO Electric Ltd.,0
17,Allied Shipbuilders,Industrials,Commercial vehicles & trucks,Shipyard,North Vancouver,Allied Shipbuilders,Allied Coastline Industries Co.,1
17,Allied Shipbuilders,Industrials,Commercial vehicles & trucks,Shipyard,North Vancouver,Allied Shipbuilders,Allied Marine & Industrial,0
18,Alta Newspaper Group,Consumer services,Publishing,Media holding,Vancouver,Alta Newspaper Group,ANG Holdings Inc.,1
18,Alta Newspaper Group,Consumer services,Publishing,Media holding,Vancouver,Alta Newspaper Group,Altima Telecom Inc.,0
19,Alterra Power,Utilities,Alternative electricity,Renewable energy,Vancouver,Alterra Power,Innergex Renewable Energy Inc,1
19,Alterra Power,Utilities,Alternative electricity,Renewable energy,Vancouver,Alterra Power,Alterra Capital Holdings Limited,0
20,Angoss,Technology,Software,Analytic software,Toronto,Angoss,AcquisitionCo Inc. (historical name),1
20,Angoss,Technology,Software,Analytic software,Toronto,Angoss,Ansys Canada Ltd.,0
22,Appnovation,Technology,Software,Software developer,Vancouver,Appnovation,Appnovation Software Solutions Ltd.,1
22,Appnovation,Technology,Software,Software developer,Vancouver,Appnovation,Appnovation Digital Inc.,0
23,Arc'teryx,Consumer services,Apparel retailers,Outdoor apparel/equipment,North Vancouver,Arc'teryx,Arc'teryx Manufacturing Ltd.,1
23,Arc'teryx,Consumer services,Apparel retailers,Outdoor apparel/equipment,North Vancouver,Arc'teryx,Arcturus Networks Inc.,0
24,Areva Resources Canada,Basic materials,General mining,Uranium,Saskatoon,Areva Resources Canada,Orano Canada Inc.,1
24,Areva Resources Canada,Basic materials,General mining,Uranium,Saskatoon,Areva Resources Canada,Cameco Corporation,0
25,Aritzia,Consumer goods,Clothing & accessories,Clothing,Vancouver,Aritzia,Aritzia Holdings Ltd.,1
25,Aritzia,Consumer goods,Clothing & accessories,Clothing,Vancouver,Aritzia,Aritza Holdings Plc,0
26,Army & Navy Stores,Consumer services,Broadline retailer,"Discount department stores, defunct 2020",Vancouver,Army & Navy Stores,Army and Navy Co.,1
26,Army & Navy Stores,Consumer services,Broadline retailer,"Discount department stores, defunct 2020",Vancouver,Army & Navy Stores,Navy & Army Stores Inc.,0
27,Arsenal Pulp Press,Consumer services,Publishing,Book publisher,Vancouver,Arsenal Pulp Press,A P P Publishing Company,1
27,Arsenal Pulp Press,Consumer services,Publishing,Book publisher,Vancouver,Arsenal Pulp Press,Arsenal Power Press Inc.,0
28,ATB Financial,Financials,Asset management,State financial services,Edmonton,ATB Financial,Alberta Treasury Branches,1
28,ATB Financial,Financials,Asset management,State financial services,Edmonton,ATB Financial,ATK Financial Corporation,0
29,ATI Technologies,Technology,Semiconductors,"Semiconductors, defunct 2006",Markham,ATI Technologies,Advanced Technology Incorporated,1
29,ATI Technologies,Technology,Semiconductors,"Semiconductors, defunct 2006",Markham,ATI Technologies,"ATI Technical Services, LLC",0
30,Atmosphere Visual Effects,Consumer services,Broadcasting & entertainment,Movie special effects,Vancouver,Atmosphere Visual Effects,Atmos Visual Entertainment Inc.,1
30,Atmosphere Visual Effects,Consumer services,Broadcasting & entertainment,Movie special effects,Vancouver,Atmosphere Visual Effects,Atmosphere VFX Ltd.,0
31,Atwill-Morin,Basic materials,Construction & Materials,"Masonry restoration, heritage preservation",Montreal,Atwill-Morin,A.M.R. Contractors,1
31,Atwill-Morin,Basic materials,Construction & Materials,"Masonry restoration, heritage preservation",Montreal,Atwill-Morin,Atwell Construction Company,0
32,Ballard Power Systems,Industrials,Electrical components & equipment,Fuel cells,Burnaby,Ballard Power Systems,Ballard Technologies Inc.,1
32,Ballard Power Systems,Industrials,Electrical components & equipment,Fuel cells,Burnaby,Ballard Power Systems,Bollard Systems Ltd.,0
33,Banff Lodging Co,Consumer services,Hotels,Lodges,Banff,Banff Lodging Co,Caribou Properties Group,1
33,Banff Lodging Co,Consumer services,Hotels,Lodges,Banff,Banff Lodging Co,Banflo Lodge and Resorts Inc.,0
34,Bank of Montreal,Financials,Banks,Bank,Montreal,Bank of Montreal,The BMO Group,1
34,Bank of Montreal,Financials,Banks,Bank,Montreal,Bank of Montreal,Bank of Nova Scotia,0
35,Bard Ventures,Basic materials,General mining,Molybdenum mining,Vancouver,Bard Ventures,TBD Mining Corp.,1
35,Bard Ventures,Basic materials,General mining,Molybdenum mining,Vancouver,Bard Ventures,Broad Ventures Inc.,0
36,Barrick Gold,Basic materials,Gold mining,Gold extraction,Toronto,Barrick Gold,Barrick Resources Inc.,1
36,Barrick Gold,Basic materials,Gold mining,Gold extraction,Toronto,Barrick Gold,Barrick Resources Ltd.,0
37,Bausch Health,Health care,Pharmaceuticals,Specialty pharmaceuticals,Laval,Bausch Health,Valeant Canada Limited,1
37,Bausch Health,Health care,Pharmaceuticals,Specialty pharmaceuticals,Laval,Bausch Health,Bayer HealthCare Pharmaceuticals,0
38,BBC Kids,Consumer services,Broadcasting & entertainment,Children's television,Burnaby,BBC Kids,B.B.C. Kids Broadcasting Ltd.,1
38,BBC Kids,Consumer services,Broadcasting & entertainment,Children's television,Burnaby,BBC Kids,BBC Knowledge,0
39,BC Hydro,Utilities,Alternative electricity,Hydro-electric,Vancouver,BC Hydro,BC Power Corp,1
39,BC Hydro,Utilities,Alternative electricity,Hydro-electric,Vancouver,BC Hydro,Hydro One Limited,0
40,BC Research,Industrials,Business support services,"Research, defunct 2007",Vancouver,BC Research,British Columbia Research Institute,1
40,BC Research,Industrials,Business support services,"Research, defunct 2007",Vancouver,BC Research,BC Transit,0
41,Becker's,Consumer services,Specialty retailers,Retail chains,Toronto,Becker's,Becker Milk Company Limited,1
41,Becker's,Consumer services,Specialty retailers,Retail chains,Toronto,Becker's,Beckers Group Inc.,0
42,Bell Canada,Telecommunications,Fixed line telecommunications,"Telecom, part of BCE Inc.",Montreal,Bell Canada,The Bell Telephone Company of Canada Ltd.,1
42,Bell Canada,Telecommunications,Fixed line telecommunications,"Telecom, part of BCE Inc.",Montreal,Bell Canada,Bell Atlantic,0
43,Bell MTS,Telecommunications,Fixed line telecommunications,"Telecom, part of BCE Inc.",Winnipeg,Bell MTS,BCE Nexxia Inc. (as part of the BCE corporate structure),1
43,Bell MTS,Telecommunications,Fixed line telecommunications,"Telecom, part of BCE Inc.",Winnipeg,Bell MTS,Bell Aliant,0
44,Ben Moss Jewellers,Consumer services,Specialty retailers,Jewelry retailer,Winnipeg,Ben Moss Jewellers,BMJ Inc.,1
44,Ben Moss Jewellers,Consumer services,Specialty retailers,Jewelry retailer,Winnipeg,Ben Moss Jewellers,Ben Bridge Jeweler,0
45,Bennett Environmental,Industrials,Waste & disposal services,Defunct 2013,Oakville,Bennett Environmental,Bennett Waste Disposal Services,1
45,Bennett Environmental,Industrials,Waste & disposal services,Defunct 2013,Oakville,Bennett Environmental,Bennett Property Development Inc.,0
46,Big Blue Bubble,Technology,Software,"Software firm, mobile games",London,Big Blue Bubble,Big Blue Bubble (Canada) Inc.,1
46,Big Blue Bubble,Technology,Software,"Software firm, mobile games",London,Big Blue Bubble,Big Blue Bus,0
47,BigPark,Technology,Software,"Software firm, part of Microsoft (US)",Vancouver,BigPark,Microsoft Studios BigPark,1
47,BigPark,Technology,Software,"Software firm, part of Microsoft (US)",Vancouver,BigPark,Big Planet,0
49,BioWare,Technology,Software,"Video games, part of Electronic Arts (US)",Edmonton,BioWare,BioWare Corporation,1
49,BioWare,Technology,Software,"Video games, part of Electronic Arts (US)",Edmonton,BioWare,BioWare Inc. (different entity than EA subsidiary in past filings),0
50,Bison Transport,Industrials,Delivery services,Transportation and logistics,Winnipeg,Bison Transport,Bison Limited,1
50,Bison Transport,Industrials,Delivery services,Transportation and logistics,Winnipeg,Bison Transport,Blackson Transport Ltd.,0
51,Black Diamond Cheese,Consumer goods,Food products,"Cheese, part of Parmalat (Italy)",Belleville,Black Diamond Cheese,BD Cheese Ltd.,1
51,Black Diamond Cheese,Consumer goods,Food products,"Cheese, part of Parmalat (Italy)",Belleville,Black Diamond Cheese,Black Diamond Equipment,0
52,Black Hen Music,Consumer services,Broadcasting & entertainment,Record label,Vancouver,Black Hen Music,BHM Records Inc.,1
52,Black Hen Music,Consumer services,Broadcasting & entertainment,Record label,Vancouver,Black Hen Music,Black Hat Music,0
53,Black Press,Consumer services,Publishing,Publishing and media,Surrey,Black Press,Black Media Group,1
53,Black Press,Consumer services,Publishing,Publishing and media,Surrey,Black Press,Black Diamond Group,0
54,Blacks Photo Corporation,Consumer services,Recreational services,"Photo printing, now only online",Montreal,Blacks Photo Corporation,Black's Cameras Limited,1
54,Blacks Photo Corporation,Consumer services,Recreational services,"Photo printing, now only online",Montreal,Blacks Photo Corporation,Blackstone Photo Company,0
55,BlackBerry Limited,Technology,Telecommunications equipment,Wireless devices,Waterloo,BlackBerry Limited,RIM Inc.,1
55,BlackBerry Limited,Technology,Telecommunications equipment,Wireless devices,Waterloo,BlackBerry Limited,BlackBerry Inc.,0
56,Blackburn Radio,Consumer services,Broadcasting & entertainment,Radio,London,Blackburn Radio,CJTN FM Inc,1
56,Blackburn Radio,Consumer services,Broadcasting & entertainment,Radio,London,Blackburn Radio,Blackridge Media Group,0
57,"Blake, Cassels & Graydon",Industrials,Business support services,Law firm,Toronto,"Blake, Cassels & Graydon",B.C. & G. LLP,1
57,"Blake, Cassels & Graydon",Industrials,Business support services,Law firm,Toronto,"Blake, Cassels & Graydon",Blake Group of Companies,0
58,Bleeding Art Industries,Consumer services,Broadcasting & entertainment,Special effects,Calgary,Bleeding Art Industries,Bleeding Art Effects Company,1
58,Bleeding Art Industries,Consumer services,Broadcasting & entertainment,Special effects,Calgary,Bleeding Art Industries,Bleed In Arts Ltd.,0
59,Blenz Coffee,Consumer services,Restaurants & bars,Coffee chain,Vancouver,Blenz Coffee,Blenz Coffee International Inc.,1
59,Blenz Coffee,Consumer services,Restaurants & bars,Coffee chain,Vancouver,Blenz Coffee,Blends Cafe,0
60,Blue Giant Equipment Corporation,Industrials,Industrial machinery,Loading dock equipment,Toronto,Blue Giant Equipment Corporation,BG Equipment Ltd.,1
60,Blue Giant Equipment Corporation,Industrials,Industrial machinery,Loading dock equipment,Toronto,Blue Giant Equipment Corporation,Blue Line Equipment Ltd.,0
63,Bombardier,Industrials,Aerospace,Aircraft,Montreal,Bombardier,Société Bombardier,1
63,Bombardier,Industrials,Aerospace,Aircraft,Montreal,Bombardier,Bombard Electric LLC,0
64,Bombardier Recreational Products,Consumer goods,Recreational products,Spun off as an independent company in 2003,Valcourt,Bombardier Recreational Products,BRP Inc.,1
64,Bombardier Recreational Products,Consumer goods,Recreational products,Spun off as an independent company in 2003,Valcourt,Bombardier Recreational Products,Bombardier Inc.,0
65,Book City,Consumer services,Specialty retailers,Bookstores,Toronto,Book City,Livre Ville Corp.,1
65,Book City,Consumer services,Specialty retailers,Bookstores,Toronto,Book City,Bookmark City Inc.,0
66,Boston Pizza,Consumer services,Restaurants & bars,Pizza chain,Richmond,Boston Pizza,BPI Holdings Ltd.,1
66,Boston Pizza,Consumer services,Restaurants & bars,Pizza chain,Richmond,Boston Pizza,Boston Scientific Ltd.,0
67,Boutique La Vie en Rose,Consumer services,Apparel retailers,Lingerie retailer,Montreal,Boutique La Vie en Rose,Groupe Bikini Village inc.,1
67,Boutique La Vie en Rose,Consumer services,Apparel retailers,Lingerie retailer,Montreal,Boutique La Vie en Rose,Boutique Belle Vie,0
68,Bowring Brothers,Consumer services,Broadline retailers,General retail stores,St. John's,Bowring Brothers,M.H. Bowring & Co.,1
68,Bowring Brothers,Consumer services,Broadline retailers,General retail stores,St. John's,Bowring Brothers,Bowering Brothers,0
69,Bre-X,Basic materials,Gold mining,Completely collapsed in 1997,Calgary,Bre-X,Bresea Resources Ltd.,1
69,Bre-X,Basic materials,Gold mining,Completely collapsed in 1997,Calgary,Bre-X,Bendex Mines Ltd.,0
70,Brick Brewing Company,Consumer goods,Brewers,Brewery,Waterloo,Brick Brewing Company,Waterloo Brewing Ltd.,1
70,Brick Brewing Company,Consumer goods,Brewers,Brewery,Waterloo,Brick Brewing Company,Bricks Beer Co.,0
71,Brightlight Pictures,Consumer services,Broadcasting & entertainment,Production company,Vancouver,Brightlight Pictures,BLP Productions Ltd.,1
71,Brightlight Pictures,Consumer services,Broadcasting & entertainment,Production company,Vancouver,Brightlight Pictures,BrightStar Corp,0
72,BrightSide Technologies,Consumer goods,Consumer electronics,"Display technology, merged into Dolby Laboratories",Vancouver,BrightSide Technologies,None,1
72,BrightSide Technologies,Consumer goods,Consumer electronics,"Display technology, merged into Dolby Laboratories",Vancouver,BrightSide Technologies,BrightPixel Technologies Inc.,0
73,Brookfield Corporation,Financials,Asset managers,Asset management firm,Toronto,Brookfield Corporation,BAM Investments Corp.,1
73,Brookfield Corporation,Financials,Asset managers,Asset management firm,Toronto,Brookfield Corporation,Brookfield Property Partners L.P.,0
75,Brunet,Consumer services,Drug retailers,Pharmacies,Montreal,Brunet,Groupe Pharmaceutique Benoit Brunet,1
75,Brunet,Consumer services,Drug retailers,Pharmacies,Montreal,Brunet,Brunett Enterprises,0
76,Buckley's,Health care,Pharmaceuticals,Medicine,Mississauga,Buckley's,W.K. Buckley Limited,1
76,Buckley's,Health care,Pharmaceuticals,Medicine,Mississauga,Buckley's,Buckles & Belts Inc.,0
77,Buhler Industries,Industrials,Commercial vehicles & trucks,Farm vehicles and equipment,Winnipeg,Buhler Industries,Versatile Division of Buhler Industries Inc.,1
77,Buhler Industries,Industrials,Commercial vehicles & trucks,Farm vehicles and equipment,Winnipeg,Buhler Industries,Butler Industries,0
78,Bullfrog Power,Utilities,Alternative electricity,Low-carbon electricity,Toronto,Bullfrog Power,BPI Energy Solutions Inc.,1
78,Bullfrog Power,Utilities,Alternative electricity,Low-carbon electricity,Toronto,Bullfrog Power,Ballard Power Systems Inc.,0
79,Cactus Club Cafe,Consumer services,Restaurants & bars,Restaurant chain,North Vancouver,Cactus Club Cafe,Cactus Canada Operating Corporation,1
79,Cactus Club Cafe,Consumer services,Restaurants & bars,Restaurant chain,North Vancouver,Cactus Club Cafe,Cactus Club Kitchen,0
80,Cadillac Fairview,Financials,Real estate holding & development,Property development and management,Toronto,Cadillac Fairview,CF Properties Management,1
80,Cadillac Fairview,Financials,Real estate holding & development,Property development and management,Toronto,Cadillac Fairview,Fairview Cadillac Inc.,0
81,CAE Inc.,Industrials,Business training & employment agencies,Flight simulators and training,Montreal,CAE Inc.,Canadian Aviation Electronics Ltd.,1
81,CAE Inc.,Industrials,Business training & employment agencies,Flight simulators and training,Montreal,CAE Inc.,CAE TECHNOLOGY INC.,0
82,Cafection,Consumer goods,Consumer electronics,Coffee Machines,Quebec City,Cafection,Cafection Ventures Corporation,1
82,Cafection,Consumer goods,Consumer electronics,Coffee Machines,Quebec City,Cafection,Curvature Inc.,0
83,Calm Air,Consumer services,Airlines,Airline,Winnipeg,Calm Air,Calm Air International Inc.,1
83,Calm Air,Consumer services,Airlines,Airline,Winnipeg,Calm Air,Calx Air,0
84,Cameco,Basic materials,General mining,Uranium,Saskatoon,Cameco,Eldorado Nuclear,1
84,Cameco,Basic materials,General mining,Uranium,Saskatoon,Cameco,Camoco Ltd.,0
85,Canada Bread,Consumer goods,Food products,"Bread, part of Grupo Bimbo (Mexico)",Toronto,Canada Bread,Bimbo Canada,1
85,Canada Bread,Consumer goods,Food products,"Bread, part of Grupo Bimbo (Mexico)",Toronto,Canada Bread,Canada Bread Atlantic,0
86,Canada Deposit Insurance Corporation,Financials,Specialty finance,Government-owned bank account insurance company,Ottawa,Canada Deposit Insurance Corporation,C.D.I.C.,1
86,Canada Deposit Insurance Corporation,Financials,Specialty finance,Government-owned bank account insurance company,Ottawa,Canada Deposit Insurance Corporation,Canada Guaranty Mortgage Insurance Company,0
87,Canada Post,Industrials,Delivery services,Postal services,Ottawa,Canada Post,CPC Limited,1
87,Canada Post,Industrials,Delivery services,Postal services,Ottawa,Canada Post,Canadian Post Holdings Ltd,0
88,Canada Wide Media,Consumer services,Publishing,Publisher,Burnaby,Canada Wide Media,Canada Wide Magazines & Communications Ltd.,1
88,Canada Wide Media,Consumer services,Publishing,Publisher,Burnaby,Canada Wide Media,Canada Media Fund,0
90,Canadian Broadcasting Corporation (CBC),Consumer services,Broadcasting & entertainment,Government-owned Canadian TV and radio broadcaster,Ottawa,Canadian Broadcasting Corporation (CBC),SRC,1
90,Canadian Broadcasting Corporation (CBC),Consumer services,Broadcasting & entertainment,Government-owned Canadian TV and radio broadcaster,Ottawa,Canadian Broadcasting Corporation (CBC),Canadian Broadcast Centre,0
91,Canadian Hydro Developers,Utilities,Alternative electricity,"Hydro power generation, defunct 2009",Calgary,Canadian Hydro Developers,CHDI,1
91,Canadian Hydro Developers,Utilities,Alternative electricity,"Hydro power generation, defunct 2009",Calgary,Canadian Hydro Developers,Canadian Utilities Limited,0
92,Canadian Imperial Bank of Commerce (CIBC),Financials,Banks,Banking,Toronto,Canadian Imperial Bank of Commerce (CIBC),CIBC Mellon Trust Company,1
92,Canadian Imperial Bank of Commerce (CIBC),Financials,Banks,Banking,Toronto,Canadian Imperial Bank of Commerce (CIBC),Canadian Pacific Railway Limited,0
93,Canadian Light Source,Industrials,Business support services,Research,Saskatoon,Canadian Light Source,CLS Inc.,1
93,Canadian Light Source,Industrials,Business support services,Research,Saskatoon,Canadian Light Source,Canadian Solar Inc.,0
94,Canadian National Railway,Industrials,Railroads,Railway,Montreal,Canadian National Railway,CNR Company,1
94,Canadian National Railway,Industrials,Railroads,Railway,Montreal,Canadian National Railway,Canadian Pacific Railway,0
95,Canadian Natural Resources,Oil & gas,Exploration & production,Oil and gas development and production,Calgary,Canadian Natural Resources,CNR,1
95,Canadian Natural Resources,Oil & gas,Exploration & production,Oil and gas development and production,Calgary,Canadian Natural Resources,Canadian Resource Partners,0
96,Canadian Oil Sands,Oil & gas,Exploration & production,"Oil production, part of Suncor Energy",Calgary,Canadian Oil Sands,COS.UN,1
96,Canadian Oil Sands,Oil & gas,Exploration & production,"Oil production, part of Suncor Energy",Calgary,Canadian Oil Sands,Canadian Superior Oil Limited,0
97,Canadian Pacific Railway Limited,Industrials,Railroads,Railway,Calgary,Canadian Pacific Railway Limited,CPR Ltd.,1
97,Canadian Pacific Railway Limited,Industrials,Railroads,Railway,Calgary,Canadian Pacific Railway Limited,Canadian Pacific Limited,0
99,Canadian Steamship Lines,Industrials,Marine transportation,Cargo shipping,Montreal,Canadian Steamship Lines,CSL Group Inc.,1
99,Canadian Steamship Lines,Industrials,Marine transportation,Cargo shipping,Montreal,Canadian Steamship Lines,Canadian Pacific Lines Limited,0
100,Canadian Tire,Consumer goods,Tires,Retail,Toronto,Canadian Tire,"CTR, Ltd.",1
100,Canadian Tire,Consumer goods,Tires,Retail,Toronto,Canadian Tire,Castrol Canada Limited,0
101,Canadian Tire Bank,Financials,Consumer financing,"Credit card company, part of Canadian Tire",Oakville,Canadian Tire Bank,CTFS Bermuda Inc.,1
101,Canadian Tire Bank,Financials,Consumer financing,"Credit card company, part of Canadian Tire",Oakville,Canadian Tire Bank,Canada Trust Bank,0
102,Canadian Western Bank,Financials,Banks,Banking,Edmonton,Canadian Western Bank,CWB Financial Group,1
102,Canadian Western Bank,Financials,Banks,Banking,Edmonton,Canadian Western Bank,Canadian Imperial Bank of Commerce,0
103,Canadian Wheat Board,Consumer goods,Farming & fishing,"Agri-business, defunct 2015",Winnipeg,Canadian Wheat Board,Commission Canadienne du Blé,1
103,Canadian Wheat Board,Consumer goods,Farming & fishing,"Agri-business, defunct 2015",Winnipeg,Canadian Wheat Board,Canadian Wheat Trade Corp,0
105,Candente Copper,Basic materials,Nonferrous metals,Copper mining,Vancouver,Candente Copper,Candente Resource Corporation,1
105,Candente Copper,Basic materials,Nonferrous metals,Copper mining,Vancouver,Candente Copper,Candente Gold Corp.,0
106,Cangene Corp.,Health care,Biotechnology,"Biotech, defunct 2014",Winnipeg,Cangene Corp.,Cangene Limited,1
106,Cangene Corp.,Health care,Biotechnology,"Biotech, defunct 2014",Winnipeg,Cangene Corp.,Canexus Corporation,0
107,CanJet,Consumer services,Airlines,"Low-cost airline, defunct 2015",Enfield,CanJet,Scotia International of Nova Scotia Inc.,1
107,CanJet,Consumer services,Airlines,"Low-cost airline, defunct 2015",Enfield,CanJet,CanWest,0
108,Canpotex,Basic materials,General mining,Potash export,Saskatoon,Canpotex,Canadian Potash Exporters Inc.,1
108,Canpotex,Basic materials,General mining,Potash export,Saskatoon,Canpotex,Cantec Industries Ltd.,0
109,Canucks Sports & Entertainment,Consumer services,Broadcasting & entertainment,Owns Vancouver Canucks,Vancouver,Canucks Sports & Entertainment,CSE Vancouver LP,1
109,Canucks Sports & Entertainment,Consumer services,Broadcasting & entertainment,Owns Vancouver Canucks,Vancouver,Canucks Sports & Entertainment,Canmedico Sports & Entertainment,0
110,Canwest,Consumer services,Broadcasting & entertainment,"Broadcaster, defunct 2010",Winnipeg,Canwest,No additional verified variant found.,1
110,Canwest,Consumer services,Broadcasting & entertainment,"Broadcaster, defunct 2010",Winnipeg,Canwest,CanWest Global Communications Corp.,0
111,Capcom Vancouver,Technology,Software,"Game developer, part of Capcom (Japan)",Burnaby,Capcom Vancouver,Blue Castle Games,1
111,Capcom Vancouver,Technology,Software,"Game developer, part of Capcom (Japan)",Burnaby,Capcom Vancouver,Camco Vancouver Ltd.,0
112,Cargill Ltd.,Consumer goods,Farming & fishing,"Agriculture, part of Cargill (US)",Winnipeg,Cargill Ltd.,Cargill Limited,1
112,Cargill Ltd.,Consumer goods,Farming & fishing,"Agriculture, part of Cargill (US)",Winnipeg,Cargill Ltd.,Cara Operations Ltd.,0
113,Casavant Frères,Consumer goods,Recreational products,Organs,Saint-Hyacinthe,Casavant Frères,Les Industries Casavant Inc.,1
113,Casavant Frères,Consumer goods,Recreational products,Organs,Saint-Hyacinthe,Casavant Frères,Casavant & Company Inc.,0
114,Cascades,Industrials,Containers & packaging,Packaging and tissues,Kingsey Falls,Cascades,Cascades Containerboard Packaging,1
114,Cascades,Industrials,Containers & packaging,Packaging and tissues,Kingsey Falls,Cascades,Cascade Aerospace Inc.,0
115,Catalyst Paper,Basic materials,Paper,Pulp and paper,Richmond,Catalyst Paper,Howe Sound Pulp & Paper Corporation,1
115,Catalyst Paper,Basic materials,Paper,Pulp and paper,Richmond,Catalyst Paper,Catalyst Copper Corp,0
116,Cedarlane Laboratories,Manufacturing,Research products,Life science research,"Burlington, Ontario",Cedarlane Laboratories,Cedarlane Research Products Ltd.,1
116,Cedarlane Laboratories,Manufacturing,Research products,Life science research,"Burlington, Ontario",Cedarlane Laboratories,Cedarlane Biosciences Limited,0
117,Celestica,Industrials,Electronic equipment,Electronics,Toronto,Celestica,Celestica International Inc.,1
117,Celestica,Industrials,Electronic equipment,Electronics,Toronto,Celestica,Celestial Semiconductor Inc.,0
118,Cellcom Communications,Telecommunications,Fixed line telecommunications,Part of BCE Inc.,Montreal,Cellcom Communications,Bell Cellcom Services,1
118,Cellcom Communications,Telecommunications,Fixed line telecommunications,Part of BCE Inc.,Montreal,Cellcom Communications,Comcell Solutions,0
119,Cenovus Energy,Oil & gas,Integrated oil & gas,Oil & gas,Calgary,Cenovus Energy,472552 Alberta Inc.,1
119,Cenovus Energy,Oil & gas,Integrated oil & gas,Oil & gas,Calgary,Cenovus Energy,Cenov Energy Corp,0
120,Centra Gas Manitoba Inc.,Utilities,Alternative electricity,"Utility, part of Manitoba Hydro",Winnipeg,Centra Gas Manitoba Inc.,Centra Manitoba Utilities,1
120,Centra Gas Manitoba Inc.,Utilities,Alternative electricity,"Utility, part of Manitoba Hydro",Winnipeg,Centra Gas Manitoba Inc.,Centra Gas Ontario Inc.,0
121,Central Heat Distribution,Utilities,Multiutilities,District heating,Vancouver,Central Heat Distribution,CHD Ltd.,1
121,Central Heat Distribution,Utilities,Multiutilities,District heating,Vancouver,Central Heat Distribution,Central Distribution Heating Ltd.,0
